word,means
particular,"[adj.]    特别的, 详细的, 独有的, 挑剔的[n.]    特色，特点, （可分类，列举的）项目, 详细情节，细情，细目, 某一事项"
density,"[n.]    密度, 稠密，浓厚, [物]浓度，比重, 愚钝"
attenuation,"[n.]    变薄, 弄细, 稀薄化, 减少"
hoist,"[vt.]    升起，提起[vi.]    被举起或抬高[n.]    起重机，升降机, 升起, <俚>推，托，举"
onshore,"[adj.]    海岸的, 在岸上的, 在近岸处的, 朝着岸的"
comprises,"[v.]    包含( comprise的第三人称单数 ), 包括, 组成, 构成"
respectively  [ rɪˈspektɪvli ],"[adv.]    各自地, 各个地, 分别地"
redundant  [ rɪˈdʌndənt ],"[adj.]    多余的，累赘的, （因人员过剩）被解雇的，失业的, 重沓, 衍"
expire  [ ɪkˈspaɪə(r) ],"[vi.]    期满, 文件、协议等（因到期而）失效, 断气, 逝世"
latter  [ ˈlætə(r) ],"[adj.]    后者的, 末了的, 较后的"
attenuation  [ əˌtenjʊ'eɪʃn ],"[n.]    变薄, 弄细, 稀薄化, 减少"
fade  [ feɪd ],"[vi.]    褪去，失去光泽, 逐渐消逝, 凋谢，衰老[vt.]    使褪色[adj.]    乏味的，平淡的"
inherently  [ ɪnˈhɪərəntlɪ ],[adv.]    天性地，固有地
exhibit  [ ɪgˈzɪbɪt ],"[vt.]    陈列，展览, 呈现, 证明, [法]提交证据[vi.]    公开展览某物, 展出[n.]    展览，陈列, 展览品, 公开展示, [法]证据"
exponential  [ ˌekspəˈnenʃl ],"[n.]    指数, 倡导者, 演奏者, 例子[adj.]    指数的，幂数的, 越来越快的"
corresponding  [ ˌkɒrəˈspɒndɪŋ ],"[adj.]    相当的，对应的, 通信的, 符合的，符合。。, 一致的[v.]    相符合( correspond的现在分词), 类似(correspond的ing形式), 相配"
density  [ ˈdensəti ],"[n.]    密度, 稠密，浓厚, [物]浓度，比重, 愚钝"
cooperative  [ kəʊ'ɒpərətɪv ],"[adj.]    合作的, 协助的, 共同的, 〈美〉（大学文科）有关[包含]各种实习活动的[n.]    合作社，联合体"
gap  [ gæp ],"[n.]    缺口, 分歧, 间隔, 美国休闲服饰品牌[vt.]    造成缝隙, 使成缺口, 使豁裂[vi.]    豁开, 张开, 有缺口, 露出裂口"
extract  [ ˈekstrækt ],"[vt.]    提取, （费力地）拔出, 选取, 获得"
gain  [ geɪn ],"[vt.& vi.]    获得, 赢得, 增加, （钟、表）走快[n.]    利润, [土木工程]腰槽, 获益[vt.]    （在…上）开腰槽, 吸引, （通过努力）到达, 推进（一段距离）[vi.]    增进, 增进健康, 得益, （重量的）增加"
unfavorable  [ 'ʌn'feɪvərəbl ],"[adj.]    不利的, 相反的, 令人不快的, 不吉利的"
mitigate  [ ˈmɪtɪgeɪt ],"[vt.]    使缓和，使减轻, 使平息[vi.]    减轻，缓和下来"
verge  [ vɜ:dʒ ],"[n.]    边，边缘, 界限, 范围, 起始点[vi.]    接近，逼近, 处于边沿或边缘"
consequently  [ ˈkɒnsɪkwəntli ],"[adv.]    所以，因此, 因此，因而, 终于，这样, 合乎逻辑的推论是"
desired  [ dɪ'zaɪəd ],"[adj.]    渴望的，想得到的[v.]    希望( desire的过去式和过去分词 ), 渴望, 要求, 请求"
fluctuation  [ ˌflʌktʃʊ'eɪʃn ],"[n.]    波动，涨落，起伏，[物]脉动, 动摇不定，踌躇, [生]彷徨变异"
account  [ əˈkaʊnt ],"[n.]    账，账目, 存款, 记述，报告, 理由[vi.]    解释, 导致, 报账[vt.]    认为, 把…视作"
reception  [ rɪˈsepʃn ],"[n.]    接待, 欢迎, 招待会, 接待处"
combat  [ ˈkɒmbæt ],"[n.]    格斗，搏斗，战斗, 〈美〉竞赛，比赛, 论战[vt.]    与…战斗, 与…斗争, 防止, 减轻"
residual  [ rɪˈzɪdjuəl ],"[adj.]    残余的, 残留的[n.]    剩余, 残渣"
pattern  [ ˈpætn ],"[n.]    模式, 花样，样品, 图案, 榜样，典范[vt.]    模仿, 以图案装饰[vi.]    形成图案"
fluctuating  [ 'flʌktʃʊeɪtɪŋ ],[v.]    波动，涨落，起伏( fluctuate的现在分词 )
scope  [ skəʊp ],"[n.]    （处理、研究事务的）范围, 眼界，见识, （活动或能力的）余地, 广袤，地域[v.]    审视，仔细研究"
tackle  [ ˈtækl ],"[n.]    用具，装备, 索具, 阻挡, 阻截队员[vt.]    着手处理, [橄榄球]擒住并摔倒（一名对方球员）, 给（马）配上挽具[vi.]    擒住并摔倒一名对手"
nonstatic  [ 'nɒn'stætɪk ],[adj.]    非静止的
division  [ dɪˈvɪʒn ],"[n.]    分开，分隔, [数]除法, 部门, [军]师"
portion  [ ˈpɔ:ʃn ],"[n.]    一部分, 一份遗产（或赠与的财产）, 嫁妆, 分得的财产[vt.]    把…分成份额, 分配, 把…分给(to), 命运注定"
lifespan  [ ˈlaɪfspæn ],"[n.]    （人或动物的）寿命, 存在期, 使用期, 有效期"
unfeasible  [ ʌnˈfi:zəbl ],[adj.]    不能实行的，难实施的
pivotal  [ ˈpɪvətl ],"[adj.]    中枢的, 枢轴的, 关键的"
sponsor  [ ˈspɒnsə(r) ],"[n.]    发起者，主办者, 担保者, 倡议者，提案人, 后援组织[vt.]    赞助"
promise  [ ˈprɒmɪs ],"[vt.]    允诺，许诺, 给人以…的指望或希望, 保证[vi.]    许诺, 有指望，有前途[n.]    许诺, 希望，指望, 允诺的东西"
exploit  [ ɪkˈsplɔɪt ],"[vt.]    开采, 开拓, 利用（…为自己谋利）, 剥削[n.]    功绩, 功劳, 勋绩"
scalable  [ 'skeɪləbl ],[adj.]    可攀登的，可升级的
detouring  [  ],[v.]    绕道( detour的现在分词 )
starvation  [ stɑ:ˈveɪʃn ],"[n.]    挨饿, 饥饿, 饿死, 绝食"
rescue  [ ˈreskju: ],"[vt.]    营救，救援，使免遭损失, [法律] 非法劫回[n.]    营救，救援, 营救[救援]行动"
eager  [ ˈi:gə(r) ],"[adj.]    渴望的, 热切的，热情洋溢的, 热心的, 急切"
promising  [ ˈprɒmɪsɪŋ ],"[adj.]    有前途的, 有希望的, 光明, 有为"
hybrid  [ ˈhaɪbrɪd ],"[n.]    杂种, 杂交生成的生物体, 混合物, 混合词[adj.]    混合的, 杂种的"
exploration  [ ˌekspləˈreɪʃn ],"[n.]    探测，勘探，探险, 搜索，研究, [医]探查术"
unique  [ juˈni:k ],"[adj.]    唯一的，仅有的, 独一无二的，独特的, 不平常的，特别的, 超绝"
deployment  [ dɪ'plɔɪmənt ],"[n.]    部署, 调度"
prone  [ prəʊn ],"[adj.]    易于…的, 俯卧的, 有…倾向的, 倾斜的，坡陡的"
inapplicable  [ ˌɪnəˈplɪkəbl ],[adj.]    不适用的
employed  [ ɪm'plɔɪd ],"[v.]    雇用( employ的过去式和过去分词 ), 使用，利用"
survey  [ ˈsɜ:veɪ ],"[vi.]    测量土地[vt.]    调查, 勘测, 俯瞰[n.]    调查（表），调查所，测量，测量部，测量图, 概观，检查，鉴定书, 环顾"
greedy  [ ˈgri:di ],"[adj.]    贪吃的, 贪心的, 贪婪的, 渴望的"
optimal  [ ˈɒptɪməl ],"[adj.]    最佳的，最优的, 最理想的"
properly  [ ˈprɒpəli ],"[adv.]    适当地, 恰当地, 正确地, 完全，非常"
situation  [ ˌsɪtʃuˈeɪʃn ],"[n.]    （人的）情况, 局面，形势，处境, 位置, [心理学]情境"
inside  [ ˌɪnˈsaɪd ],"[adj.]    里面的，内部的, 内幕的, 内侧的[n.]    里面，内侧, 内脏, 内容，内幕, （道路或跑道拐弯处的）内侧[adv.]    在内地，在内部地, 在内侧地, 在监狱里[prep.]    在…以内, 在内侧或内部, 进入里面"
eligibility  [ ˌelɪdʒə'bɪlətɪ ],"[n.]    适任，合格, 被选举资格"
